Başlık,Şikayet
"Getir Siparişim Saatlerce Hazırlanmadı, Çözüm Sunulmadı","Getir'den sabah 10.00'da sipariş verdim. Akşam 21.00 oldu, hâlâ 'Siparişiniz hazırlanıyor.' yazıyordu. Canlı desteğe bağlandım, sorunumu dile getirdim. 'Kurye bekliyoruz, sistem tarafından atanıyor, müdahale edemiyoruz.' diyorlar. Akşama kadar evden çıkmadık, gelecek diye günümüz boşa gitti. Çözüm olarak 'İptal edelim mi?' dediler."
Siparişim Geç Ve Eksik Geldi Kimseye Ulaşamıyorum,"Getir Büyük'ten sipariş verdim, hem çok geç geldi hem de eksik geldi. Eksik ürün için herhangi bir bilgilendirme yapılmadı ve kimseye ulaşamıyorum. Müşteri hizmetleri, kuryeye ulaşamıyor. Hamileyim ve ürünü istediğimi belirttim, 1 saati geçti fakat hâlâ kimse dönüş yapmadı. 'Sizi hemen arayacaklar' deniyor ama kimse dönmüyor ve siparişlerim ortada yok."
Siparişim Teslim Edilmediği Halde Teslim Edildi Olarak İşaretlendi Ve Yanlış Bilgilendirildim,Getir büyükten verdiğim siparişim 14:00-16:00 arasında gelmesi gerekirken süreç uzadı. Saat 5 civarı teslim edildi. Gözüktü fakat teslim almadım. Canlı desteğe bağlandığımda kurye yanlışlıkla işaretlenmiş siparişiniz yolda dendi. Üzerinden 1 saat daha geçti ve yeni bir müşteri temsilcisine bağlandım sipariş teknik aksaklıklar nedeniyle iptal edilmiş kurye teslim edildi olarak işaretlendiğini öğrendim. Madem bir aksaklık var ne diye yalan söyleyip insanları oyalıyorsunuz daha acil bir sipariş de vermiş olabilirdim veya en bastan iptal oldu. Deseydiniz başka bir yerden söyleyebilirim.
Getir Siparişim Teslim Edilmeden Teslim Edildi Gösteriliyor Ve Mağdur Oldum,"4 Temmuz 2025 tarihinde saat 11.35'te Nevşehir Merkez Getir'den vermiş olduğum Getir Büyük siparişim, 12.30 civarında 'teslim oldu' durumuna düştü. Yaklaşık 1 saat daha bekledikten sonra canlı destekle konuştum ve bana teknik bir aksaklık nedeniyle siparişi göremediklerini, daha sonra tekrar denememi söylediler. Tekrar tekrar denedim ve en sonunda merkeze ilettiklerini, geri dönüş sağlayacaklarını ilettiler. Benim 13.30'da evden çıkmam gerekirken Getir yüzünden bütün gün evde kalmak zorunda kaldım. Canlı destekteki arkadaşlara 'Ya iptal edin ya da siparişim gelecek mi bunu öğrenin' diyorum; koskoca sandığımız Getir yetkilileri birbirine ulaşamıyor galiba. Bana sipariş teslim olunduğu göründüğü için iptal edemediklerini söylüyorlar. Bütün günümü mahvettiniz. Verdiğim siparişin miktarı büyük değil ama ben Nevşehir'de okumaya çalışan bir öğrenciyim ve bu durumda ücretin büyüklüğü küçüklüğü fark etmiyor. Teslim edemiyorsanız 'teslim edildi' durumunda göstermeyin ki iptal edebilelim. Ayrıca bu zamana kadar verdiğim bütün siparişlerde aynı sorunu yaşadım. Teslim olmadan önce teslim edilmiş görünüyor ve teslimat saatinden 1-2 saat sonra teslim ediliyor. Nevşehir Merkez Getir şubesinden ve İ***** adlı kuryeden şikayetçiyim."
"Siparişim 2 Saattir Teslim Edilmedi, Müşteri Hizmetlerinden Destek Alamıyorum","2 saat oldu, sipariş vereli hâlâ teslim edilmedi. Sanki bakkaldan geliyor gibi uzun sürdü. Uygulamanın kullanışsız olduğunu düşünüyorum, müşteri hizmetleri de yardımcı olamadı. Eğer bu işi yapamıyorsanız, yapmamalısınız. Adana'nın en işlek caddesinde, evime 10 dakika mesafede olmama rağmen ürün hâlâ teslim edilmedi."
"Getir Hesabım Haksız Yere Kapandı, Bilgi Alamıyorum","Getir, hesabımı haksız yere kapattı ve hiçbir şekilde bilgi vermiyor. Müşteri hizmetleri, 'Biz görüntüleyemiyoruz ama kasıcı silinmiş, ihlal gözüküyor' diyor. Hangi ihlal olduğunu sorduğumda ise bilmiyoruz cevabını alıyorum. Hesabımla ilgili muhatap olabileceğim bir telefon numarası veya e-posta adresi istiyorum, ancak böyle bir iletişim bilgisi de yokmuş. Kartlarımın ve kişisel bilgilerimin kayıtlı olduğu uygulamayı ve para iademin gerçekleşmesi gereken hesabımı, hiçbir bilgi vermeden kapatmaları kabul edilemez."
"Sipariş Hazır Ama Kurye Yok: 2,5 Saatlik Bekleyiş","135 dakika oldu, hâlâ kurye ataması bekliyoruz. Siparişim hazırmış, kurye atanınca gelecekmiş. Kuryeleriniz başka illerden mi geliyor, anlamıyorum. Bir de 'siparişiniz hazır' deniyor, 2,5 saat geçti. Neresi hazır? Dondurma, tavuk, köfte var içinde; iki saattir nerede bekletiyorsunuz? Hazır diyorlar, hazırlamakta ne var, kaç dakika sürer? İki buçuk saat oldu, kurye hâlâ atanmamış, bekliyoruz. İyice saçmaladınız; diğer firmalar anında getiriyor. Bir daha burada işim yok, kaç defa yaşadık ama bu sefer fazla! Düzenleme yapıyorum, şu an 154 dakika oldu. Kurye atanmış fakat 10 dakikadır aynı yerde duruyor. Tabii yola çıktı gösteriyorlar ama beklemeye devam ediyoruz. Yazıktır, yazık!"
"Getir Siparişim Uzun Süre Teslim Edilmedi, Çözüm Sunulmadı","Getir’den 67 dakika önce sipariş verdim. Maalesef çıkamayacak durumda olduğum için, evim merkezde ve ulaşımı kolay olmasına rağmen hâlâ siparişim gelmedi. Müşteri temsilcileri, 'Siparişiniz hazır, uygun kurye atanmamış' diyor ve geri bildirim vermemi istiyor. Alışveriş yapılan yere söylüyorum, hiçbir çözüm alamıyorum. Bu yavaşlık ve çözümsüzlük nedeniyle Getir’i silmiştim. İhtiyacım olduğu için tekrar yükledim, ancak pişman oldum. Getir’den alışveriş yapacağınıza, çıkıp kendiniz alın; ben 3 kez gidip gelirdim, onlar hâlâ getiremedi."
Getir Tarihi Geçmiş Ürün Sonrası Hesabım Haksız Yere Kapatıldı,Getir uygulamasından tavuk sipariş ettim ve tarihi geçmiş tavuk gönderdiler. Durumu belirttiğimde para iadesi yaptılar fakat bu büyük bir sorumsuzluk. Şikayette bulunacağımı söylediğimde ise bir hafta sonra hesabım nedense kapatıldı. Neden kapatıldığını sorduğumda kural ihlali gerekçesiyle yanıt verdiler. Çok eski bir kullanıcısıyım. Yaptıkları büyük bir saygısızlık.
Tarihi Geçmiş Ürünü Çocuğa Teslim Etmeleri Ve Çözüm Sunmamaları Büyük Sorumsuzluk,26 Haziran 2025 tarihinde Getir Büyük uygulamasından verdiğim siparişte UNO markalı sandviç ekmeği son tüketim tarihi geçmiş şekilde gönderildi. Ürünün ambalajında tett: 25.06.2025 saat 21:52 yazıyor. Fatura ise 26.06.2025 saat 12:17:56 tarihli. Yani ürün bana ulaştığında çoktan tarihi geçmişti.
Eksik Ve Hatalı Siparişe Çözüm Sunulmuyor,4 temmuzda getir uygulaması üzerinden sipariş verdik. Ürünün içeriği eksik ve kola yanlış geldi. Kola için hadi neyse dedik. Bir ısırık burgerden aldık. İçinde ne sosu ne turşusu hiçbir şeyi yok. Benim gözlerim X-ray değil ısırmadan nasıl içinde ne var ne yok bilebilirim? İade etmiyorlar...
Getir Araç Ve Getir Büyük'te Çifte Mağduriyet: Hatalı Ücretlendirme Ve Geciken İade,Getir Araç firması ve Getir Büyük firması aynı firma ve iki ayrı problem yaşadım. Getir Araç'tan 15.06.2025 tarihinde araç aldım. 15 dakikalık bir kullanım sonrası aracı sokağa park ettim. 03.07.2025 tarihinde ise kartımdan bilgim dışında araç otopark ücreti alınmış. Aracı otoparka koyduğuma dair fotoğraf iletilmesini istedim ve 2 gün geçmesine rağmen ne bir fotoğraf gönderildi ne de arayan oldu. Çözüm merkezleri döneceklerini belirtiyor ancak geri dönüş yapılmıyor. İnsanlar bu denli mağdur edilemez. Kartıma bakmasam otopark ücretini bile isteye resmen yüklüyorsunuz.
Geç Teslimat Ve Kurye Sorunu: Getir Van Hayal Kırıklığı,"Getir Van'dan saat 22.11'de verdiğim sipariş, gece 01.10'da teslim edildi ve haritada bir buçuk saat boyunca '1-5 dk' yazıyordu. Kurye harita kullanmayı bilmiyor, yeni taşındığım için telefonda tarif edemedim. Bir süre evi aradı, çok kötü bir deneyim oldu. Getir Van'da hayal kırıklığı yaşadım."
Cam Şişe Siparişimde Güvenlik Sorunu Yaşadım,"Bugün cam şişe su ve kola siparişi vermiştim. Tek torbaya hepsini doldurmuşlar. Siparişi teslim aldım, mutfağa girmeden poşet patladı, cam şişe su kırıldı, kırıklar kolaları da patlattı. Benim kedim var, cam şişe onun üstüne de patlayabilirdi. Aynı şekilde ayağımıza da gelebilirdi. Lütfen bir torba daha ekleyin. Küçük bir torbaya bu kadar çok ürün konulur mu? Bu büyük bir sorumsuzluk. Bir daha sipariş vermeyeceğim, o kadar para veriyoruz. Canımızın kıymeti yok."
Getir'den Gelen Mantarlar Bozuk Ve Kötü Kokulu Çıktı,"Bugün Getir'den bir sipariş verdim. Mantar siparişim de vardı, bana gelen mantar pörsümüş ve oldukça kötü görünüyordu. Neyse dedim, açıp kullanacağım diye düşündüm fakat o kadar kötü kokuyordu ki, yemeğe koysam kesin zehirleniriz. Kokmuş ürünü neden gönderiyorsunuz, gerçekten yazık."
Getirden Sipariş Ettiğim Simitler Bayat Ve Taş Gibiydi,"Sabah kahvaltı yapmadan evden çıktım, işe gittim. Getir'den üç tane simit sipariş ettim, üç simidin üçü de bayat çıktı, taş gibiydi, yiyemedim. O kadar para verdim. Gerçekten ayıp. Getir'den fırından çıkan ürünleri sipariş etmeyin, bayat getiriyorlar. Kuryeler de oldukça soğuk davranıyor."
Hasarlı Ve Güvensiz Ürünlere Çözüm Sunmayan Müşteri Hizmetleri Deneyimi,4 Temmuz'da getir büyükten verdiğim siparişimde iki ürün hasarlı geldi. Fora Zeytin ezmesi ve Tamek çilek reçeli ürün koruma bandı olmadan gönderilmişti. Bu durum insan sağlığını tehdit ediyor. Zeytin ezmesinin kapağı açık ve akmıştı. Müşteri temsilcisi ile iletişime geçtiğimde bana dönüş yapılacağını söyledi ama herhangi bir geri dönüş almadım ve problemim çözülmedi. Bir daha tercih etmeyeceğim bu markayı
İptal Edilen Siparişin İadesi Yapılmadı Ve Bilgilendirme Alınamadı,"Getir Büyük'ten sipariş verdim ve anında siparişi yanlış adrese verdiğimi anlayıp iptal ettim. Bana 'İadeniz gerçekleştirilmiştir' denildi. Ardından bir hafta geçti. Bankayı arayıp iade durumunu sorduğumda, 'Bize bir iade ulaşmamıştır. Alışveriş yaptığınız yerle iletişime geçin.' dediler. Getir canlı desteğine bağlandım, iade ettiğinize dair mail atmalarını rica ettim. 'İade talebinizi oluşturduk, lütfen bekleyin.' dediler. Bir hafta sonra iadenin gerçekleştiğini söylediler fakat ne mail atıldı ne de iade yapıldı. Aynı gün, 27 Haziran tarihinde yaptığım işlemden birkaç dakika sonra GetirYemek'ten sipariş verdim. Hesabımdan parayı çekip siparişimi iptal ettiler, iadesini gerçekleştirmediler. Sorduğumda 'İadeniz gerçekleşti' diyorlar ama mail atın dediğimde kesinlikle ne mail atılıyor ne de başka bir bilgilendirme yapılıyor. Getir'den sipariş verdiğimde paramı geri alamadım ve yeterli bilgilendirme yapılmadı."
Getir Uygulaması Kirli Poşet Şikayeti,"Bugün (3 Temmuz 2025) getirden sipariş verdim. Ürünüm elime ulaştığında poşetinde leke olduğunu gördüm. Poşette patlayıp leke bırakacak bir ürün yoktu (toz çamaşır deterjanı ve Cif vardı. Ki bu ürünlerimde leke yoktu) Leke poşette idi. Ne lekesi olduğunu bilmediğim hijyenin sıfır olduğu bir durum. Bu bir kan lekesi de olabilir, sağlığımız bu kadar basite alınmamalı ki bu poşetlere de ayrıca para ödüyoruz. Niçin temiz şartlarda poşetlemiyorsunuz? Ben canlı desteğe bağlandım iademi istedim gün içinde geleceklerini ilgileneceklerini söylediler ama gelen giden yok. Saat olmuş 20.41 bu saatten sonra da geleceklerini sanmıyorum bari geleceğiz demeseydiniz komik! Sürekli getir uygulamasından sorun yaşıyorum bir önceki siparişim de geç gelmişti (tam 5 saat sonra geldi) lütfen işinizi layığıyla yapın yazıktır ya!."
Bozuk Süt Teslimatı Sonrası İade Talebim Reddedildi,"Getir platformundan 1 Temmuz Salı günü gıda ürünleri siparişi verdim. Siparişim içerisinde yer alan 3 kutu 1'er litrelik Sütaş laktozsuz sütlerden ilk kutusunu dün açtım ve tüketmeye başladım. Ancak, bugün sütü tamamen bardağa boşalttığımda sütün bozulmuş olduğunu ve içinde kalıntılar oluştuğunu fark ettim."
"Getir Siparişim İptal Edildi, Ücret İadesi Yapılmadı","Bodrum Getir Büyük'ten 800 küsur liralık sipariş verdim. Sipariş indirimdeydi fakat hesabımdan 1004,46 TL çekildi. Yoğunluk ve gecikmeden dolayı sipariş 1,5 saat sonra iptal edildi. Buna rağmen, ne siparişi görüntüleyebildim ne de ücret iadesi aynı gün içerisinde yapıldı; bugün ise ertesi gün oldu. Dünden beri müşteri hizmetlerini arıyorum, banka ve firma birbirine yönlendiriyor. Banka, firmanın iade yapmadığını söylüyor. Defalarca aradım, iki taraf da birbirine paslıyor. Tüketici Hakem Heyeti'ne başvurdum. Sipariş numaram bile yok, bankadan gelen çekilen tutarın SMS'i de yok; sadece dekontum var, onu da yükledim. Dünden beri ihtiyacım olan şeyleri tekrar alamadım. Bu durumdan çok mağdur oldum."
"Ürünüm Teslim Edilmiyor, Mağdur Ediliyorum","Aldığım ürünü teslim etmiyorlar. Sorunu söylüyorum, çözmüyorlar. Böyle bir firmaya bu yapılanlar yakışmıyor. Günlerdir beni uğraştırıyorsunuz, yaptığınız işin hakkını verin. İnsanları mağdur etmeye hakkınız yok, size olan güveni yok ediyorsunuz. İşinizi doğru yapın."
Randevulu Teslimatta Büyük Gecikme Ve Yetersiz Müşteri Hizmeti,"Bu ne biçim tuhaflık anlamıyorum. Randevulu teslimatı seçmiş olmama rağmen bile gecikmeler var. Randevu saati geçeli 1.5 saat oldu ama halen bir tane bile kurye atanmadı.
Müşteri temsilcisine bağlanıyorum yapılacak bir şey yok diyor.
Bu gece gelmeyecekse iptal edeceğimi söylüyorum ama bana dediği tek şey şu ""bilmiyorum"" oluyor. Normal bir şekilde sipariş versem bu gecikmeyi anlayabilirim ama randevulu siparişte bu kadar büyük bir gecikme olması hayretler içerisine sokuyor.
Deponuzu arayıp sorun ya da numarasını verin. Ben arayayım diyorum ""öyle bir sistemimiz bulunmamaktadır"" diyorlar
kardeşim size madem bu yetkiyi vermiyorlar. Neden müşteri temsilcimiz var diye reklam yapıp duruyorlar.
Bir daha asla getir uygulamasını kullanmayacağım bu gece itibariyle bütün bilgilerimin silinmesini talep ediyorum.
Yazıklar olsun hepinize. Bir daha asla sipariş vermeyeceğim.
Bütün gecem mahvoldu.
Neresi varsa yarin ilk isim her yere başvurup tazminat davası açmak.
Her yerden açıkları var.
Markette satılan fiyatların 2katini satmayı biliyorsunuz, kurye ücreti diye milletten para almayı biliyorsunuz.
Alabileceğiniz her şeyden para alıyorsunuz ama 1 tane fazla kurye koymuyorsunuz."
Getir Büyükte Saatlerce Beklenen Ürünler Teslim Edilmiyor,"Ürün gelmedi. Getir Büyük'te tam 4 saat bekledim, ürün gelmedi. İki gün önce de aynı sorunla karşılaştım. 120 dakika gecikebilir deniyor ama 4 saat geçti. Aklıma gelmese ben de unutmuştum ve hep aynı cevabı alıyorum: Kurye ataması yapılıyor, getirilecektir. Bu durum artık kurye yok mu diye düşündürüyor. Uygulama işlevini yerine getirmiyor."
Teslim Edilmeyen Siparişe Sessiz Kalan Müşteri Hizmetleri,"Getir Büyük'ten sipariş verdim, ürünü teslim ettik gösteriyor. Uygulama ama bana gelen bir teslimat olmadı. Müşteri Hizmetleri konuyu aktardım, aranacaksınız dense ama arayan soran yok. Büyük pişmanlık yaşadım. 3 sefer müşteri hizmetlerine konuyu aktardım ama hiçbir şey değişmedi."
"GetirMarket Siparişim Saatlerdir Teslim Edilmedi, İptal De Edemiyorum","Getirmarket üzerinden saat 20:25’te verdiğim sipariş tam olarak şuan saat 23:39 hala bana ulaşmadı. Getir deposu ile evimin arası 2,5 km. Son bir kaç seferdir akşam verdiğim siparişleri hep bu saatlere bırakıyorlar. İptal de edemiyorum. Normal bir zaman aralığı mı bu gerçekten!?"
Getir Siparişlerinde Gecikme Ve Müşteri Memnuniyetsizliği,"Getir kuryeleri ürünleri marketlerden teslim almıyor, 1 saatin üzerinde kurye düşmesini bekliyorum 2 gündür. 1500 liralık alışveriş yapıyorum haftanın 3 günü, paramla rezil oldum. Saat 20:00'de verdiğim siparişi gece 24:00'te mi yemeye başlayacağım? İşini düzgün yapan bir firma çıktığı vakit, bu firma yakında zor durumda kalır."
Teslimat Süresinin Aşılması Ve Yetersiz Müşteri Hizmeti Deneyimi,"Getir üzerinden sipariş verdim. Sipariş vermeden önce teslimat dakika aralığı 60-75 dakika olarak belirtilmişti. Ancak siparişi vereli 185 dakikayı geçti ve müşteri hizmetlerine yazdım. Bana, 'Kurye atanmasını bekliyoruz' şeklinde cevap verildi. Son siparişlerimde de benzer sorunlar yaşadım. Kuryeniz yoksa, teslimat gerçekleştiremiyorsanız sipariş almamalısınız. 3 saat beklemek zorunda kalmak istemiyorum. Sipariş numarasını bile müşteri temsilcisi vermedi, sipariş numarası olmadığını söyledi. Kimse sizi beklemek zorunda değil. Hizmetinizden memnun kalmadım ve bir daha tercih etmeyeceğim."
"Getir Siparişim Zamanında Teslim Edilmedi, Müşteri Hizmeti Yetersiz Kaldı",Getirden sipariş verdim. 18:00-20:00 arasında teslim edilecekti. Saat 22:00 olmasına rağmen hala gelmedi müşteri temsilcileri asla yardımcı olmuyor. Sabaha kadar sipariş mi bekleyeceğim bilmiyorum. Son zamanlarda teslimat konusunda kendisini iyice kendini bozdu. Siparişim en kısa sürede teslim edilmesini istiyorum. Eklediğim fotoğrafta ekran görüntüsü aldığım saat ve sipariş durumuna bakılsın lütfen
Getir Market Siparişlerinde Sürekli Gecikme Ve Ürün Sorunları,"Getir Market'te 10-15 dakika yazıyor, Getir Büyük ise 20-30 dakika yazıyor. Fiyatlar yüksek olmasına rağmen Getir Market'ten sipariş veriyorum fakat siparişim 65 dakikada gelmiyor. Sürekli, bir kere iki kere olsa neyse, aynı şey yaşanıyor. Gelen siparişte dondurma erimiş bir şekilde, yoğurt ise ters dönmüş ve akmış şekilde geliyor. Sürekli paramızla sıkıntı yaşıyoruz."
"Eksik Ve Yanlış Ürün, İade Sorunu: Getir'den Mağduriyet Yaşadım","Bugün yani 03.07.2025 günü getir den 1291.88 TL lik ürün siparişi verdim. Saat 20 gibi S***** adlı kurye getirdi. 1 ürün eksik,1 ürün yanlış getirildi,1 poşet ücreti fazla kesilmiş. (1 poşet ile geldi. İki poşet ücreti yazılmış). Kapıda yaptığım kontrolde farkına vardım. Almak istemedim kuryeye de eksik ve yanlış olanı tek tek ispatladım. Kendi hatası olduğunu ve bugünün son işi olduğunu söyleyip gitti. Yanlış ürünü iade ettim, eksik gelen ürünün ve fazla kesilen poşet ücretinin iadesini ilettim. Tabii ki kurye herhangi bir iade vb. Yapmadan gitti. Bilerek veya bilmeden böyle bir uygulama kabul edilemez mağduriyetimin giderilmesini ve yasal haklarımı kullanacağımı beyan ve talep ederim."
"Siparişim Başkasına Teslim Edildi, Müşteri Hizmetleri Yetersiz","Hiçbir şekilde sipariş verilebilecek bir uygulama değil. Kurye adreste olmasına rağmen siparişimi yarım saat oyalıyor, üstüne üstlük tam teyidini yapmadan ürünümü başka birine teslim ediyor ve teslim edildi diye işaretliyor. Müşteri hizmetleri ise 'Depoya ulaşamıyoruz. Ulaşınca geri dönüş sağlayacağız.' diyor. Böyle bir sorumsuzluk olamaz. İnsanları mağdur etmekten başka bir şey değil."
Getir İademi Günlerdir Yapmıyor Paramı Alamıyorum,"Getir'den sipariş verdim. 1.453,19 TL tutarındaki iademi 3 gündür yapmıyorlar. Müşteri temsilcisi, iadenizi yaptık diyerek sürekli provizyon numarası veriyor. Sürekli e-posta yoluyla sizinle iletişime geçeceğiz diyorlar. Paramı Getir'in işletmesi hukuka aykırı, hemen bankaya iade sağlamaları gerekiyor. Yasal işlem başlatacağım. Beni oyalayıp yanlış bilgilendirdikleri için şikayetçiyim."
Getir Siparişim Geç Ve Erimiş Şekilde Teslim Edildi,"Getir'den uzun zamandır ürün siparişi veriyorum fakat son dönemlerde hizmet kalitesi ciddi şekilde düştü. Sabahtan verdiğim siparişi, yoğunluk ve çalışan eksikliği gerekçesiyle akşam saatlerine bıraktılar. 1500 liralık, çoğu derin dondurucuya atılması gereken ürünler sipariş ettim. Paketiniz hazır servisi bekliyor diye bildirim geldi. Saat 18:00'de kuryeye ilk bana mı geldiniz diye sordum, hayır dedi. Ürünler teslim edildikçe ikinci sipariş yeri otomatik olarak açılıyor dedi. Gelen ürünler erimiş haldeydi ve tekrar buzluğa koymam gerektiğini söyledim. Siz olsanız ne yapardınız diye sordum, önce buzluğa koyacaklarını, sonra ise imha edeceklerini belirttiler. Başkasının sağlığı bu kadar ucuz olmamalı. Aldığım ürünlerin hepsi et ve tavuk gibi hassas gıdalardı. Bu durum can güvenliğini tehlikeye atıyor. Gerçekten çok üzgünüm ve ödediğim parayı helal etmiyorum. Denetimsizlik bu sonucu doğuruyor."
Getir'de Sürekli Yaşanan Geç Teslimat Sorunu Can Sıkıyor,"Getir üzerinden sipariş oluşturdum, sipariş 45 dakika teslimat süresi gösteriyordu. Hadi dedim, 15 dakika geciksin çünkü Getir her zaman gecikir. 2 saat oldu, hâlâ yok. Her seferinde buradan sipariş vermeyeceğim diyorum, konu hep aynı: geç teslimat. Canlı destek cevapları hep aynı, iyileştirmeye çalışıyoruz, yoğunluk var, bilmem ne. Eğer kurye sayınız yeterli gelmiyorsa ona göre planlama yaparsınız. Neden Türkiye'de sisteminizde bu sorunlar yaşanıyor? Asla kendinizi iyileştirmiyorsunuz ve hep aynı sorun: geç teslimat. 2 saati aştı, hâlâ yok. İşten çıkıp sipariş veriyoruz, güvenerek teslimat süresine ama belirtilen süreye uyulmuyor. Uyulmadığı gibi cevaplar da hazır ve aynı: yoğunluk. Yoğunluk yok, siz az kurye çalıştırıyorsunuz ve biz satın aldığımız hizmetin karşılığını göremiyoruz. Yazıklar olsun."
Yanlış Ürün Teslimatı Ve İade Sürecinde Çözüm Sunulmayan Kötü Deneyim,"3 gün önce Getir Çarşı'da bir marketten sipariş verdim. Siparişimle gelen ürünler birbirinden farklıydı ve ürünlerin iadesinin alınıp ücretimin geri ödenmesini talep ettim. Siparişi iş yerime vermiştim ve sadece öğleden sonra 3-4 saat iş yerinde oluyorum. Onun dışında hiçbir şekilde ve hafta sonu iş yerinde bulunmuyorum. Bunu defalarca kez belirtip iade kuryesinin buna göre ayarlanmasını istediğimde, hiçbir şekilde sorunuma bir çözüm bulamadım. Üç gündür sürekli bir oyalama mevcut, asla ürünler gelip iade alınmıyor. Boşu boşuna yanlış ürüne 600 TL gibi bir ücret ödemiş oldum. Sorunumu dile getirdiğimde kesinlikle yardımcı olunmuyor. Hep ezberlenmiş, aynı klasik cevaplar veriliyor. Artık bu durumdan çok sıkıldım. Ürünlerin bir an önce iadesinin alınıp ücretinin bana verilmesini istiyorum! Profesyonellikten çok uzak bir yaklaşımları mevcut!"
"Getir Büyük'ten Alınan Karpuz Bozuk Çıktı, İade Talebim Reddedildi","Getir Büyük büyük pişmanlık. Küçük çocuğum olduğu için online alışveriş yapıyorum. Getir büyük üzerinden meyve sebze vb. Eksikleri sipariş verdim. İki karpuz aldım haliyle aynı gün ikisini de kesmedim. Bir gün sonra kestim ve karpuz resmen çürük. Para çöp oldu. Canlı hizmete bağlandım ürünün iade süresi geçmiş bir günde iki karpuz kim yiyor. Bu şekilde bir şey yanlış, Ürün zaten bozuk gelmiş bir günde bu hale gelmiş olamaz. Fotograf paylaşıyorum. Mağdur olduk"
Teslim Edilmeyen Sipariş İçin Yanlış Teslimat Bilgisi Ve İade Sorunu,"N11 sitesinden 02/07/2025 tarihinde 15 kg Enjoy kedi maması siparişi verdim. Sürat Kargo'da 07/07/2025 tarihinden beri dağıtım şubesinde bekletiliyor. Bu sürede N11 sitesinde en geç teslim tarihi önce 14/07, daha sonra 18/07 olarak belirtildi ve ben sitede bu siparişle ilgili hiçbir işlem yapmadım. 15/07/2025 tarihinde teslim edildi görünüyor. Fakat kargo takibinde 07/07/2025 tarihinden beri hareket yok. Canlı yardıma bağlandığımda, uygulamada ödeme erteleme talep etmediğimden teslim edilmiş gösteriliyormuş; bu da bir sorun teşkil etmezmiş. Kargo tarafından teslim edilmeyen ürün, N11 sitesi tarafından teslim edildi gösterilip, süresi içinde teslim edilmediğinden paramın geri ödenmesi yapılmamaktadır. Derhal bana paranın geri ödenmesini talep ediyorum."
"Sipariş Verdiğim Ürün Teslim Edilmedi, İade Talebim Reddedildi",N11 sitesinden Bepanthol pişik önleyici sipariş ettim ancak ne kargo elime ulaştı ne de paramı geri alabildim. Paramı da alamıyorum. İade talebi oluşturdum ancak ürün müşteriye iletildi diye reddetmişler. Satıcı Happy Center ancak kargocu ne beni aradı ne de bir şey yaptı. Hiçbir şekilde ürün elime ulaşmadı.
Siparişim Hazırlanıyor Görünüyor Ama Gönderilmiyor,"N11 aracılığıyla 4E1D adlı satıcıdan Nehir klasik üçlü tencere siparişi verdim. 08.07.2025 tarihinde sipariş oluşturdum, 10.07.2025 tarihinde ise hâlâ 'sipariş hazırlanıyor' mesajı görünüyor. Ne kargoya veriyorlar ne de bir yanıt alabiliyorum, sadece bekletiliyorum. Firmaya mesaj atıyorum, her seferinde kopyala-yapıştır aynı mesajı gönderiyorlar; yoğunluk varmış gibi gerekçeler sunuluyor. Madem göndermeyeceksiniz, neden insanları uğraştırıyorsunuz? Bu firmadan kesinlikle bir daha alışveriş yapmam."
Bir Aydır Teslim Edilmeyen Buzdolabı Ve Yetersiz Müşteri Hizmetleri,1 Profilo İstanbul'dan 23.06.2024 tarihinde buzdolabı siparişi verdim ancak hâlâ siparişiniz hazırlanıyor diyor. Neredeyse 1 ay olacak ses yok. Müşteri hizmetlerini aradığımızda ise ilgili birime ulaşamadıklarını söylüyorlar sürekli. İlgilenme yok. Muhatap bulamıyoruz. Hiçbir şekilde. En son tedarik aşamasında demişlerdi şimdi baktığımızda stoklar güncellenmiş ama bizim buzdolabı hâlâ kargolanmamış. En kısa zamanda yardımcı olunmazsa ilgili birimlere şikayet edeceğimi buradan bildirmek istiyorum. Sipariş ekran görüntüsünü de yüklüyorum. İletişime geçmenizi bekliyorum.
